name,category,site,website,phone,borough,address,open,online,takeaway,delivery,appointment,note,gid,lat,lng
Heirloom ,Autres commerces et services,Site,http://pizzeriaheirloom.ca/,(514) 905-8211,Hochelaga,"3991 Rue Ontario E, Montréal, QC H1W 1T1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.foodora.ca/fr/restaurant/s0ew/heirloom,ChIJfWAPyYkbyUwRlk7abYvfUPY,45.5493972,-73.5420583
HOMAthérapie,"Santé, sports, beauté et bien-être",Site,http://homatherapie.ca/,(514) 522-2221,Hochelaga,"3744 Rue Ontario E, Montréal, QC H1W 1S2, Canada",Ouvert ou activité réduite,,,,Oui,Urgences seulement  https://www.facebook.com/HOMATherapie.ca/,ChIJSwPDJIkbyUwRYMyumCylAQ8,45.5466184,-73.543698
Jean-Coutu Joyal et René-Henri,"Santé, sports, beauté et bien-être",,,,Hochelaga,#ERROR!,Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/JeanCoutuMontreal4484SainteCatherineEst/,#ERROR!,,
Jean-Coutu Raymond Beaucaire,"Santé, sports, beauté et bien-être",Site,http://www.jeancoutu.com/localisateur/detail/3452-rue-Ontario-Est/Montreal/QC/H1W1R2/3/,(514) 522-1126,Hochelaga,"3452 Rue Ontario E, Montréal, QC H1W 1R2, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://hochelaga.ca/commerces/commerce/jean-coutu-raymond-beaucaire/,ChIJX-Pk-Y4byUwRRp6GGO50eiM,45.5438848,-73.5453694
Josée Bouthillier Denturologiste,"Santé, sports, beauté et bien-être",Site,http://www.denturologiste-montreal.com/,(514) 527-4602,Hochelaga,"3880 Rue Ontario E, Montréal, QC H1W 1S6, Canada",Ouvert ou activité réduite,,,,Oui,Urgences seulement  http://www.denturologiste-montreal.com/,ChIJXwrDqYkbyUwROc-02vaGYto,45.5481208,-73.5426469
L'Étoile de Pacho,OBNL,Site,http://www.etoiledepacho.ca/,(438) 476-6939,Hochelaga,"4831 Rue Sainte-Catherine E, Montréal, QC H1V 1Z7, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/etoiledepacho/,ChIJhyPs__EdyUwRWkxib_Ibccg,45.5561579,-73.5307006
La Source,Autres commerces et services,Site,http://www.thesource.ca/,(844) 763-0636,Hochelaga,"3935 Rue Ontario E, Montréal, QC H1W 1S9, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.thesource.ca/fr-ca,ChIJGbrL8I4byUwRzc1xAjLkLj8,45.5487799,-73.5424965
La Source,Autres commerces et services,Site,http://www.thesource.ca/,(844) 763-0636,Hochelaga,"3935 Rue Ontario E, Montréal, QC H1W 1S9, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://www.thesource.ca/fr-ca/Gift-cards,ChIJGbrL8I4byUwRzc1xAjLkLj8,45.5487799,-73.5424965
La Taqueria ,Autres commerces et services,Site,https://www.restaurantlataqueria.com/,(514) 521-7500,Hochelaga,"3650 Rue Ontario E, Montréal, QC H1W 1R9, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.ubereats.com/ca-fr/montreal/food-delivery/la-taqueria/y0DzJQecSmOutz0OgrdtwA,ChIJm8t41I4byUwRspUOBTAmt1Y,45.5456775,-73.5439708
La Vie en Rose,Autres commerces et services,Site,https://www.lavieenrose.com/en/our-stores/837-montreal-3939-rue-ontario-est,(514) 788-4610,Hochelaga,"3939 Rue Ontario E, Montréal, QC H1W 1S8, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.lavieenrose.com/fr,ChIJWS64sYkbyUwRw30dvbG9CoY,45.5488607,-73.5423705
La Vie en Rose,Autres commerces et services,Site,https://www.lavieenrose.com/en/our-stores/837-montreal-3939-rue-ontario-est,(514) 788-4610,Hochelaga,"3939 Rue Ontario E, Montréal, QC H1W 1S8, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://www.lavieenrose.com/fr/carte-cadeau-25,ChIJWS64sYkbyUwRw30dvbG9CoY,45.5488607,-73.5423705
Le Secret des Korrigans,Autres commerces et services,Site,http://www.lesecretdeskorrigans.com/,(438) 383-3860,Hochelaga,"3766 Rue Ontario E, Montréal, QC H1W 1S2, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.lesecretdeskorrigans.com,ChIJB75CI4kbyUwR7pQlF37RKwE,45.5467608,-73.5436324
Les Canailles,Autres commerces et services,Site,http://lescanailles.ca/,(514) 526-8186,Hochelaga,"3854 Rue Ontario E, Montréal, QC H1W 1S4, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  http://www.lescanailles.ca,ChIJQ993EIkbyUwRzCX2mDVnHuU,45.547763,-73.542934
Les Frères Jo's,Autres commerces et services,,,(438) 410-2666,Hochelaga,"4103 Rue Sainte-Catherine E, Montréal, QC H1V 1X1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.ubereats.com/ca-fr/montreal/food-delivery/les-freres-jos/j3_vX7vlSXCPqYWtzMfxxg,ChIJtep0JVAbyUwRCpDj4Bmc0Hs,45.5486894,-73.5355173
Les Givrés,Autres commerces et services,Site,http://www.lesgivres.ca/,(514) 543-1950,Hochelaga,"3681 Rue Ontario E, Montréal, QC H1W 1S1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.facebook.com/LesGivres/posts/2824856437560115?__xts__[0]=68.ARAVn_EAvh7ENn1pYPxE6IwqGo0QF6J_JgzL6rHByCluDz3550w84sBVM8Nh4ubxXNISmV2lVjXHo4r7DfLoDgC6C7_JrqOK0CsQrbWkfdSwC_lzlIiOoM0K4otuL3Q8_DAXNfRODltolIRGJBPId9V121eIQIrvV-F84yxXXkFV8QhLNQ1EfJWgmuVNTThEVbuyqZIyPuoB5sgGzQdQj_8J6-MAntVryeqBpHucDgiqqKvkkheFLLGIHTFpivm97u-LpNcvleyXBjslPOClIkNjmiaS0saa-WMGy5LFCibKtHQagwqAiw6eX_NXwLeeTUa5vtWxM2KgajGNoDM41DlYgHJTKCMmnBCwtFnKUAhh9L2Krye6e6gNCzQjxcycUR1aBLt4OTwasj-zyj96V8VJ0KIfqGqLyqa-_7ry7fbICLNcMMqj4dMmEVx1lqQ17uV2gYOl3yHZY5vxFWfJIXE0FWDY2D5yiwGwlYA6nLYy8YvywKcq-23NAw&amp;__tn__=-R,ChIJ63PsOHMbyUwR8Azu2yuGF28,45.5461161,-73.5443394
Les P'tites Poires,Autres commerces et services,Site,http://www.lesptitespoires.com/,(438) 387-7637,Hochelaga,"3921 Rue Sainte-Catherine E, Montréal, QC H1W 2G7, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.lesptitespoires.com/collections/all,ChIJdRRvRhUbyUwRJacH4SgcrHg,45.5469157,-73.5365477
Librairie Z,Autres commerces et services,Site,https://www.librairiezbookstore.com/,(438) 387-7117,Hochelaga,"3420 Rue Ontario E, Montréal, QC H1W 1P9, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.librairiezbookstore.com/qc,ChIJcRFcUI4byUwR2HGF6mQ4N2I,45.543217,-73.545742
Librairie Z,Autres commerces et services,Site,https://www.librairiezbookstore.com/,(438) 387-7117,Hochelaga,"3420 Rue Ontario E, Montréal, QC H1W 1P9, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://librairiezbookstore.com/qc/info/informations/certificats-cadeaux,ChIJcRFcUI4byUwR2HGF6mQ4N2I,45.543217,-73.545742
Lunetterie Milot,Autres commerces et services,Site,https://www.lunetteriemilot.com/,(514) 523-3127,Hochelaga,"3540 Rue Ontario E, Montréal, QC H1W 1R5, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.lunetteriemilot.com,ChIJdacP5o4byUwR0k5JNGd4_2s,45.5445277,-73.5448585
Lunetterie Milot,Autres commerces et services,Site,https://www.lunetteriemilot.com/,(514) 523-3127,Hochelaga,"3540 Rue Ontario E, Montréal, QC H1W 1R5, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://www.lunetteriemilot.com/categorie-produit/certificat-cadeaux/,ChIJdacP5o4byUwR0k5JNGd4_2s,45.5445277,-73.5448585
Marc Gosselin,Autres commerces et services,Site,http://www.marcgosselin.ca/,(514) 292-0696,Hochelaga,"3880 Rue Sainte-Catherine E, Montréal, QC H1W 2G4, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.marcgosselin.ca/tableaux-disponibles,ChIJ26cExHUcyUwRaiM2GrgdYgw,45.5461927,-73.5365997
Marché 4751,Alimentation,Site,http://www.marche4751.com/,(514) 903-6775,Hochelaga,"4751 Rue Sainte-Catherine E, Montréal, QC H1V 1Z2, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/marche4751/,ChIJMZ1PS3ocyUwR9hk3JAQeWUM,45.5551318,-73.5313692
Méga Vrac,Alimentation,Site,http://www.megavrac.com/,(514) 524-1320,Hochelaga,"3562 Rue Ontario E, Montréal, QC H1W 1R5, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/Mega-Vrac-746412688812851/,ChIJjYqlUnobyUwRGEnYVXGqppE,45.5447437,-73.5447833
Mercedes Morin,Autres commerces et services,,,514-572-3898,Hochelaga,"4037 Sainte-Catherine,est",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.mercedesmorin.com,,,
Mercerie Roger,Autres commerces et services,Site,http://mercerieroger.com/,(514) 394-7952,Hochelaga,"4229 Rue Sainte-Catherine E, Montréal, QC H1V 1X4, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.mroger.com/qc,ChIJt-yeMeEdyUwRAwFV04Hd7MY,45.5497701,-73.5349239
Métayer & Lacombe Plomberie ,"Santé, sports, beauté et bien-être",,,,Hochelaga,,Ouvert ou activité réduite,,,,Oui,Urgences seulement  https://hochelaga.ca/commerces/commerce/metayer-lacombe-plomberie/,,,
Métro Morgan,Alimentation,Site,https://www.metro.ca/trouver-une-epicerie/78,(514) 254-0126,Hochelaga,"4405 Rue Sainte-Catherine E, Montréal, QC H1V 1Y4, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/metroMorgan/,ChIJg7A-pnkcyUwR8tmVvLtqk1E,45.5519881,-73.5336547
Métro Ontario,Alimentation,Site,https://www.metro.ca/trouver-une-epicerie/65,(514) 524-8850,Hochelaga,"3800 Rue Ontario E, Montréal, QC H1W 1S4, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/metroOntarioEstMontreal,ChIJmTlcGokbyUwRii4gILII04U,45.5474944,-73.5429444
Ô Tagine,Autres commerces et services,,,(514) 255-9599,Hochelaga,"4550 Rue Sainte-Catherine E, Montréal, QC H1V 1Y7, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.foodora.ca/fr/restaurant/t0ij/cafe-o-tagine,ChIJ-05Thl0dyUwRWa55VPa00M0,45.5531558,-73.5323305
Panda Sushi,Autres commerces et services,Site,http://www.panda-sushi.com/,(514) 255-5388,Hochelaga,"4277 Rue Sainte-Catherine E, Montréal, QC H1V 1Y1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.panda-sushi.com,ChIJEXH5XXgcyUwRZisuHi4r1_c,45.550521,-73.534464
Pharmaprix François Lalande ,"Santé, sports, beauté et bien-être",Site,https://stores.pharmaprix.ca/fr/store/76/?utm_source=G&utm_medium=lpm&utm_campaign=LPM_SDM,(514) 524-7727,Hochelaga,"3845 Rue Ontario E, Montréal, QC H1W 1S5, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://hochelaga.ca/commerces/commerce/pharmaprix-francois-lalande/,ChIJqyMTzNUbyUwR10loWPBnZCQ,45.5478094,-73.5433449
Piri Piri Hochelaga,Autres commerces et services,Site,http://www.piri-piri.ca/contact/,(514) 521-2779,Hochelaga,"3753 Rue Ontario E, Montréal, QC H1W 1S3, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.piri-piri.ca/livraison-hochelaga,ChIJUxSAPIkbyUwR9G7vsEAEScw,45.5467779,-73.5439554
Pizza 2 pour 1,Autres commerces et services,Site,https://pizza2pour1montreal.com/,(514) 528-0528,Hochelaga,"3699 Rue Ontario E, Montréal, QC H1W 1R8, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.pizza2pour1montreal.com,ChIJOdqYMYkbyUwRfwYuTYarAu0,45.546294,-73.544302
Pizza Jerny,Autres commerces et services,Site,https://pizza-jerny.business.site/,(514) 251-1515,Hochelaga,"4309 Rue Sainte-Catherine E, Montréal, QC H1V 1Y1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://pizza-jerny.business.site/,ChIJJWDAWXgcyUwRTQhmoyDjrS8,45.5510455,-73.5341508
Pizza Piroz,Autres commerces et services,Site,http://pirozpizza.com/,(514) 528-5528,Hochelaga,"3445 Rue Ontario E, Montréal, QC H1W 1R1, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.facebook.com/pages/Pizza-Piroz/110857522293787?>Pizza Pirohttp://www.pirozpizza.com,ChIJ0VdGWI4byUwRdSyo413ZQjI,45.5435881,-73.5459183
Pizza Pizza,Autres commerces et services,Site,https://www.pizzapizza.ca/,(514) 737-1111,Hochelaga,"3570 Rue Ontario E, Montréal, QC H1W 1R7, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www5.pizzapizza.ca/fr/store/1/delivery,ChIJK_jQwo4byUwRX7tA61hwunA,45.5449306,-73.5446724
Republique Collection,Autres commerces et services,Site,http://www.republiquecollection.com/,(514) 522-0548,Hochelaga,"3663 Rue Ontario E, Montréal, QC H1W 1S1, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.republiquecollection.com,ChIJs3uzM4kbyUwRbh-p6cb3KZ0,45.5459432,-73.5444774
Restaurant Cabotins,Autres commerces et services,Site,http://restaurantcabotins.com/,(514) 251-8817,Hochelaga,"4821 Rue Sainte-Catherine E, Montréal, QC H1V 1Z7, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.restaurantcabotins.com/menu-restaurant-cabotins-montreal,ChIJy0WUqnscyUwREjU1ZovbHVQ,45.556098,-73.530822
RONA Quincaillerie J.R. Grégoire,Autres commerces et services,Site,https://www.rona.ca/fr/store/10348?utm_medium=referral&utm_campaign=yext&utm_source=yext,(514) 524-1167,Hochelaga,"3605 Rue Ontario E, Montréal, QC H1W 1R8, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.rona.ca/fr,ChIJu-88xY4byUwRh3_VaqjGAlw,45.5453424,-73.5448944
Roxy Lama,Autres commerces et services,Site,http://www.roxylama.com/,(438) 385-7699,Hochelaga,"3419 Rue Ontario E, Montréal, QC H1W 1R1, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.roxylama.com,ChIJTRZQiL8yVUARbJ9kBg4Kd1Q,45.5433506,-73.5460926
Roxy Lama,Autres commerces et services,Site,http://www.roxylama.com/,(438) 385-7699,Hochelaga,"3419 Rue Ontario E, Montréal, QC H1W 1R1, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://www.roxylama.com/products/certificats-cadeaux?_pos=1&amp;_sid=763f7b772&amp;_ss=r,ChIJTRZQiL8yVUARbJ9kBg4Kd1Q,45.5433506,-73.5460926
Salon Enchanthé,Autres commerces et services,Site,https://www.lesalonenchanthe.com/,(514) 360-9300,Hochelaga,"3770 Rue Ontario E, Montréal, QC H1W 1S2, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  https://www.lesalonenchanthe.com/boutique/,ChIJR7TSPIkbyUwRbVOunpBEfpc,45.5467513,-73.5435369
SAQ,Alimentation,Site,http://www.saq.com/webapp/wcs/stores/servlet/SAQStoreLocatorSearchResultsStoreDetailsView?storeLocationId=10015&catalogId=50000&langId=-2&storeIdentifier=23021&storeId=20002&utm_source=G&utm_medium=lpm&utm_campaign=saq,(514) 522-0704,Hochelaga,"4035 Rue Ontario E, Montréal, QC H1W 1T3, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.saq.com/fr/store/23021,ChIJpSaWzYkbyUwREpMcQZSkwbo,45.549825,-73.5417806
Sata Sushi ,Autres commerces et services,Site,http://www.clubvegangels.com/,(514) 510-7282,Hochelaga,"3349 Rue Ontario E, Montréal, QC H1W 1P8, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  http://www.clubvegangels.com/sata-sushi,ChIJs0zxRo4byUwR88LEkQMm-4s,45.5427663,-73.5463415
Snack Town,Autres commerces et services,Site,http://snacktown.ca/,(450) 540-9850,Hochelaga,"3975 Rue Sainte-Catherine E, Montréal, QC H1W 2G7, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.snacktown.ca/,ChIJTUdFr90byUwRghg7NvAcb5E,45.5473694,-73.5362495
Subway Ontario,Autres commerces et services,Site,http://www.subway.com/fr-CA,(514) 524-7266,Hochelaga,"3501 Rue Ontario E, Montréal, QC H1W 1R2, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.facebook.com/SubwayCanada/,ChIJ7TixyjrNqkERW0TrzOVhQyE,45.5442657,-73.5454596
Subway Sainte-Catherine,Autres commerces et services,Site,http://www.subway.com/fr-CA,(514) 522-0004,Hochelaga,"4077 Rue Sainte-Catherine E, Montréal, QC H1W 2G9, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.facebook.com/SubwayCanada/,ChIJ97lLn4cbyUwRyd4AcZX_LHo,45.5483751,-73.535705
Sushi Plus Yikita,Autres commerces et services,Site,https://www.facebook.com/SushiPlusYitika/,(514) 903-8555,Hochelaga,"4075 Rue Sainte-Catherine E, Montréal, QC H1W 2G8, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.facebook.com/SushiPlusYitika,ChIJAWUQn4cbyUwRxwzAjIYW23s,45.5483338,-73.5357234
Terre à Soi,Autres commerces et services,Site,http://www.terreasoi.ca/,(514) 759-8772,Hochelaga,"3580 Rue Ontario E, Montréal, QC H1W 1R7, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.boutique.terreasoi.ca/fr,ChIJvaMkzXscyUwRtHiXu1gafp8,45.5449541,-73.5447342
Terre à Soi,Autres commerces et services,Site,http://www.terreasoi.ca/,(514) 759-8772,Hochelaga,"3580 Rue Ontario E, Montréal, QC H1W 1R7, Canada",Ouvert ou activité réduite,Oui,,,,Certificats-cadeaux  http://www.boutique.terreasoi.ca/fr/Carte-Cadeau-c1857,ChIJvaMkzXscyUwRtHiXu1gafp8,45.5449541,-73.5447342
Tim Hortons Ontario,Autres commerces et services,Site,https://www.timhortons.ca/store-locator/store/restaurant_69428,(514) 526-8181,Hochelaga,"3634 Rue Ontario E, Montréal, QC H1W 1R7, Canada",Ouvert ou activité réduite,,Oui,Oui,,Livraisons et/ou pour emporter  https://www.timhortons.ca/store-locator/,ChIJEeQkzo4byUwRDNp4NGUjk8M,45.5454692,-73.5443003
Tisanerie Mandala,Autres commerces et services,Site,http://www.tisaneriemandala.com/,(514) 564-9335,Hochelaga,"3555A Rue Ontario E, Montréal, QC H1W 1R6, Canada",Ouvert ou activité réduite,Oui,,,,Boutiques en ligne  http://www.tisaneriemandala.com,ChIJr9pK6I4byUwR8XWXqLwZy4M,45.5447645,-73.5452028
Uniprix Stéphane Morin,"Santé, sports, beauté et bien-être",Site,http://www.uniprix.com/fr/succursales/morin-stephane-montreal?utm_source=Google&utm_medium=maps&utm_campaign=Local_Presence,(514) 255-4400,Hochelaga,"4251 Rue Sainte-Catherine E, Montréal, QC H1V 1X5, Canada",Ouvert ou activité réduite,,,,,Encore ouverts (commerces essentiels)  https://www.facebook.com/UniprixStephaneMorinRueSainteCatherineE/,ChIJV7wNY3gcyUwRwy_9Iy6k90k,45.5502206,-73.5346591
William J. Walter,Alimentation,Site,http://www.williamjwalter.com/,(514) 523-5444,Hochelaga,"5 Place Simon-Valois, Montréal, QC H1W 0A6, Canada",Ouvert ou activité réduite,,,,Oui,Encore ouverts (commerces essentiels)  https://www.facebook.com/wjwhochelaga/,ChIJC1DeEokbyUwRukVOl0HHOiU,45.5474706,-73.5441415
SDC Hochelaga,Autres commerces et services,,,,Hochelaga,"Hochelaga, Montreal, QC, Canada; ; ",Ouvert ou activité réduite,,,,,Pour consulter le répertoire complet de nos commerçants  https://www.facebook.com/SDCHochelaga/,ChIJGynsiI4byUwRG7MLOHNb67w,45.5435584,-73.5448283
A & W,Restos et Cafés,Site,https://www.facebook.com/AW-Jean-TalonViau-287574697968941/?fref=ts,(514) 376-3636,Jean Talon E.,"5060 Jean Talon St E, Montreal, Quebec H1S 3G5, Canada",Ouvert ou activité réduite,,,,,Oui Oui www.aw.ca,,45.575933,-73.583691
Académie Illuma Et Spa International,"Santé, sports, beauté et bien-être",,,(514) 253-5404,Jean Talon E.,"5821 Rue Jean-Talon, Saint-Léonard, QC H1S 1M4, Canada",Fermé,,,,,  ,ChIJxeUAgY0eyUwRGDVSJzXvDuc,45.5853468,-73.5803591
Accueil Aux Immigrants De L'est De Montréal,Autres commerces et services,Site,http://www.aiemont.com/,(514) 723-4939,Jean Talon E.,"5960 Rue Jean-Talon, Saint-Léonard, QC H1S 1M2, Canada",Fermé,,,,,  www.aiemont.com,ChIJm-4opY0eyUwRNvOpLYCzi7k,45.5866029,-73.578994
Agence De Voyage Tempus,Autres commerces et services,Site,http://www.voyagestempus.com/,(514) 253-1342,Jean Talon E.,"5737 Rue Jean-Talon, Saint-Léonard, QC H1S 1M3, Canada",Fermé,,,,,  www.voyagestempus.com,ChIJ9U-pyZMeyUwRbGQN86qPMYc,45.5843144,-73.5809759
Al-mastoura Shop,Mode et accessoires,,,(514) 942-2532,Jean Talon E.,"5945 Rue Jean-Talon, Saint-Léonard, QC H1S 1M5, Canada",Fermé,,,,,  http://almastourashop.com,ChIJebE6w_QeyUwR9XiDvFYIO5A,45.5862995,-73.5796709
Aliments Santé Naturasol,"Santé, sports, beauté et bien-être",Site,http://www.naturasol.ca/,(514) 508-5842,Jean Talon E.,"5138 Rue Jean-Talon, Saint-Léonard, QC H1S 1K7, Canada",Ouvert ou activité réduite,,,,,  www.naturasol.ca,ChIJZ9Be3ZUeyUwRGxWFwzk5qJE,45.5770256,-73.5828298
Allstate Assurances,Autres commerces et services,Site,https://agents.allstate.ca/qc/montreal/5020-jean-talon-st-e.html?utm_source=G&utm_medium=local&utm_campaign=AllstateInsurance,(514) 593-3678,Jean Talon E.,"5020 Rue Jean-Talon, Montréal, QC H1S 1K6, Canada",Fermé,,,,,Oui  www.allstate.ca,ChIJW7llG74eyUwRPeo-RGXPyHk,45.575266,-73.5828558
Amistad Cybercafé,Restos et Cafés,,,(514) 448-0944,Jean Talon E.,"5502 Rue Jean-Talon, Saint-Léonard, QC H1S 1L9, Canada",Fermé,,,,, Oui ,ChIJZ6ky6ZMeyUwRvhf8LrU60DM,45.5812528,-73.5805398
Antoine Laoun Opticien,"Santé, sports, beauté et bien-être",Site,http://www.antoinelaoun.com/,(514) 256-7555,Jean Talon E.,"6028 Rue Jean-Talon, Saint-Léonard, QC H1S 3A9, Canada",Fermé,,,,,"  www.antoinelaoun.com, www.antoinelaoun.com",ChIJt8LcUoweyUwReYioUZWc1NU,45.5873348,-73.578468
Association Générations Intellectuelles Ressemblantes Agir,OBNL,Site,http://www.jeantalonest.com/,(514) 502-3993,Jean Talon E.,"6020 Rue Jean-Talon bur. 380, Saint-Léonard, QC H1S 3B1, Canada",Fermé,,,,,  ,ChIJA0U7rY0eyUwRxyarkODh8Ng,45.5872163,-73.5787458
Association Interculturelle D'aide Pour La Femme & L'enfance,Culture,Site,https://www.facebook.com/pages/Association-Interculturelle-dAide-Pour-la-Femme-lEnfance/615099921971803,(514) 562-3882,Jean Talon E.,"5950 Jean Talon St E, St. Leonard, QC H1S 1M2, Canada",Fermé,,,,,  ,,45.5863511,-73.5790868
Awatrans,Autres commerces et services,Site,http://www.jeantalonest.com/,(514) 316-5292,Jean Talon E.,"6020 Rue Jean-Talon bur. 380, Saint-Léonard, QC H1S 3B1, Canada",Fermé,,,,,  ,ChIJA0U7rY0eyUwRxyarkODh8Ng,45.5872163,-73.5787458
Banco,Autres commerces et services,Site,http://www.groupebanco.com/,(514) 727-2262,Jean Talon E.,"5252 Rue Jean-Talon, Saint-Léonard, QC H1S 1L1, Canada",Fermé,,,,,  http://www.groupebanco.com/,ChIJpX3dMJQeyUwRLb4x1va4Kes,45.578615,-73.5821252
Banque Hsbc Canada,Autres commerces et services,Site,http://www.hsbc.ca/,(514) 327-9370,Jean Talon E.,"5095 Rue Jean-Talon, Saint-Léonard, QC H1S 3G4, Canada",Ouvert ou activité réduite,,,,,  www.hsbc.ca,ChIJDWjz7ZUeyUwRfjm7I8bwTVA,45.5766359,-73.583748
Banque Laurentienne Du Canada,Autres commerces et services,Site,https://www.banquelaurentienne.ca/fr/map/localisateur.sn?p=default&utm_source=G&utm_medium=lpm&utm_campaign=BanqueLaurentienne,(514) 376-5349,Jean Talon E.,"5045 Rue Jean-Talon local 101, Saint-Léonard, QC H1S 0B6, Canada",Ouvert ou activité réduite,,,,,Oui  www.banquelaurentienne.ca,ChIJb7l8FZQeyUwR0aTagN2P2UQ,45.5761938,-73.5841769
Banque Nationale,Autres commerces et services,Site,https://localisateur.bnc.ca/succursale/banque-nationale/6010-jean-talon-est-st-leonard/,(514) 376-0301,Jean Talon E.,"5705 Rue Jean-Talon, Saint-Léonard, QC H1S 1M3, Canada",Ouvert ou activité réduite,,,,,  www.bnc.ca,ChIJsc7JrY0eyUwRifHEyapl4IQ,45.5839479,-73.5810999
Banque Nationale Du Canada,Autres commerces et services,Site,https://localisateur.bnc.ca/succursale/banque-nationale/6010-jean-talon-est-st-leonard/,(514) 255-2850,Jean Talon E.,"5705 Rue Jean-Talon, Saint-Léonard, QC H1S 1M3, Canada",Ouvert ou activité réduite,,,,,"  www.bnc.ca, www.bnc.ca",ChIJsc7JrY0eyUwRifHEyapl4IQ,45.5839479,-73.5810999
Bar Café Sorrento,Restos et Cafés,Site,https://www.jeantalonest.com/en/merchants/bar-cafe-sorrento-inc/,(514) 593-1822,Jean Talon E.,"5440 Rue Jean-Talon, Saint-Léonard, QC H1S 1L6, Canada",Fermé,,,,,Non  ,ChIJf27C95MeyUwRPEGvKHrJpV0,45.5804686,-73.5811346
Bazar Saint-léonard,Autres commerces et services,Site,https://www.bazarsaintleonard.com/,(514) 321-2626,Jean Talon E.,"5921 Rue Jean-Talon, Montréal, QC H1S 1M5, Canada",Fermé,,,,,  www.bazarsaintleonard.com,ChIJP08Rn40eyUwRRJ52KcyXeXA,45.5862083,-73.5797413
Beauté Africa Inc.,Autres commerces et services,Site,http://beauteafricastore.com/,(514) 543-6767,Jean Talon E.,"5834 Rue Jean-Talon, Saint-Léonard, QC H1S 1M2, Canada",Fermé,,,,,Oui  ,ChIJHXNgBCwfyUwRUTQx2WOEk-4,45.5851749,-73.5800448
